time,use,gen,House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability
1451624400,0.932833333,0.003483333,0.932833333,3.33E-05,0.0207,0.061916667,0.442633333,0.12415,0.006983333,0.013083333,0.000416667,0.00015,0,0.03135,0.001016667,0.004066667,0.001516667,0.003483333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624401,0.934333333,0.003466667,0.934333333,0,0.020716667,0.063816667,0.444066667,0.124,0.006983333,0.013116667,0.000416667,0.00015,0,0.0315,0.001016667,0.004066667,0.00165,0.003466667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624402,0.931816667,0.003466667,0.931816667,1.67E-05,0.0207,0.062316667,0.446066667,0.123533333,0.006983333,0.013083333,0.000433333,0.000166667,1.67E-05,0.031516667,0.001,0.004066667,0.00165,0.003466667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624403,1.02205,0.003483333,1.02205,1.67E-05,0.1069,0.068516667,0.446583333,0.123133333,0.006983333,0.013,0.000433333,0.000216667,0,0.0315,0.001016667,0.004066667,0.001616667,0.003483333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624404,1.1394,0.003466667,1.1394,0.000133333,0.236933333,0.063983333,0.446533333,0.12285,0.00685,0.012783333,0.00045,0.000333333,0,0.0315,0.001016667,0.004066667,0.001583333,0.003466667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624405,1.391866667,0.003433333,1.391866667,0.000283333,0.50325,0.063666667,0.447033333,0.1223,0.006716667,0.012433333,0.000483333,0.000566667,0,0.03145,0.001016667,0.004066667,0.001583333,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624406,1.366216667,0.00345,1.366216667,0.000283333,0.4994,0.063716667,0.443266667,0.12205,0.006733333,0.012416667,0.000516667,0.00055,0,0.03155,0.001033333,0.004116667,0.001533333,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624407,1.4319,0.003416667,1.4319,0.00025,0.477866667,0.178633333,0.444283333,0.1218,0.006783333,0.01255,0.000483333,0.00045,0,0.031733333,0.001033333,0.0042,0.00155,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624408,1.6273,0.003416667,1.6273,0.000183333,0.44765,0.3657,0.441466667,0.121616667,0.00695,0.012716667,0.000466667,0.0003,1.67E-05,0.031766667,0.001016667,0.0042,0.001566667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624409,1.735383333,0.003416667,1.735383333,1.67E-05,0.17155,0.6825,0.438733333,0.121633333,0.007233333,0.01335,0.000366667,5.00E-05,0,0.031666667,0.001016667,0.0042,0.001616667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624410,1.585083333,0.003416667,1.585083333,5.00E-05,0.0221,0.678733333,0.4402,0.12145,0.007433333,0.013583333,0.00035,0.000116667,3.33E-05,0.031666667,0.001,0.0042,0.001566667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624411,1.510316667,0.003433333,1.510316667,3.33E-05,0.021966667,0.620666667,0.43695,0.12125,0.007316667,0.013533333,0.000333333,0.0001,0,0.03175,0.001,0.0042,0.001566667,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624412,1.459866667,0.00345,1.459866667,5.00E-05,0.021883333,0.577466667,0.43995,0.121033333,0.007233333,0.013516667,0.000366667,8.33E-05,1.67E-05,0.031783333,0.001,0.004216667,0.001583333,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624413,0.840583333,0.003433333,0.840583333,0,0.02095,0.1448,0.444783333,0.035016667,0.007033333,0.013183333,0.00065,0.000183333,1.67E-05,0.031783333,0.001016667,0.004216667,0.001616667,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624414,0.7032,0.003433333,0.7032,1.67E-05,0.020733333,0.061966667,0.443833333,0.004783333,0.006966667,0.013116667,0.000733333,0.000233333,0,0.03175,0.001016667,0.004233333,0.00155,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624415,0.571883333,0.00345,0.571883333,0,0.02065,0.06365,0.307783333,0.004916667,0.00705,0.0131,0.000733333,0.00015,0,0.031733333,0.001,0.004216667,0.001583333,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624416,0.485733333,0.00345,0.485733333,1.67E-05,0.020616667,0.063433333,0.22045,0.004983333,0.007033333,0.013116667,0.00075,8.33E-05,0,0.031833333,0.001,0.004233333,0.001616667,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624417,0.523166667,0.003433333,0.523166667,0,0.020633333,0.062116667,0.26005,0.00495,0.007,0.013083333,0.000733333,0.0001,1.67E-05,0.03185,0.001016667,0.00425,0.001716667,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624418,0.5362,0.00345,0.5362,0,0.020683333,0.062916667,0.272066667,0.00495,0.007033333,0.01315,0.000733333,0.000116667,0,0.031866667,0.001016667,0.004233333,0.00165,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624419,0.53415,0.00345,0.53415,1.67E-05,0.020666667,0.06265,0.270066667,0.00495,0.0071,0.01315,0.000733333,0.0001,0,0.0319,0.001,0.004233333,0.00175,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624420,0.533816667,0.00345,0.533816667,0,0.020633333,0.062966667,0.270033333,0.00495,0.007033333,0.013116667,0.00075,0.0001,0,0.031816667,0.001016667,0.004233333,0.001566667,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624421,0.523633333,0.00345,0.523633333,1.67E-05,0.02055,0.063283333,0.259816667,0.00495,0.007033333,0.013083333,0.000733333,0.000116667,0,0.031733333,0.001016667,0.004216667,0.001666667,0.00345,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624422,0.57725,0.003416667,0.57725,0,0.020683333,0.10975,0.257,0.004983333,0.007066667,0.013133333,0.000733333,8.33E-05,0,0.031683333,0.001016667,0.004233333,0.001516667,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624423,0.679566667,0.003433333,0.679566667,1.67E-05,0.020866667,0.194083333,0.2571,0.005016667,0.007116667,0.0132,0.0007,6.67E-05,1.67E-05,0.031716667,0.001016667,0.004216667,0.00165,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624424,1.293166667,0.0034,1.293166667,1.67E-05,0.107433333,0.622466667,0.2541,0.0052,0.00725,0.01335,0.00065,0.0001,3.33E-05,0.031566667,0.001,0.0042,0.001566667,0.0034,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624425,1.546666667,0.003433333,1.546666667,1.67E-05,0.220566667,0.68005,0.253933333,0.00555,0.007266667,0.013183333,0.0007,6.67E-05,1.67E-05,0.031066667,0.001,0.004166667,0.00165,0.003433333,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
1451624426,1.82235,0.003416667,1.82235,6.67E-05,0.49665,0.677,0.254533333,0.004916667,0.0071,0.012783333,0.000716667,0.000116667,1.67E-05,0.030966667,0.001016667,0.010066667,0.0016,0.003416667,36.14,clear-night,0.62,10,Clear,29.26,1016.91,9.18,cloudCover,282,0,24.4,0
